date,close,high,low,open,volume
2017-12-14 00:00:00+00:00,172.22,173.13,171.65,172.4,20219307
2017-12-15 00:00:00+00:00,173.97,174.17,172.46,173.63,37054632
2017-12-18 00:00:00+00:00,176.42,177.2,174.86,174.88,28831533
2017-12-19 00:00:00+00:00,174.54,175.39,174.09,175.03,27078872
2017-12-20 00:00:00+00:00,174.35,175.42,173.25,174.87,23000392
2017-12-21 00:00:00+00:00,175.01,176.02,174.1,174.17,20356826
2017-12-22 00:00:00+00:00,175.01,175.424,174.5,174.68,16052615
2017-12-26 00:00:00+00:00,170.57,171.47,169.679,170.8,32968167
2017-12-27 00:00:00+00:00,170.6,170.78,169.71,170.1,21672062
2017-12-28 00:00:00+00:00,171.08,171.85,170.48,171,15997739
2017-12-29 00:00:00+00:00,169.23,170.59,169.22,170.52,25643711
2018-01-02 00:00:00+00:00,172.26,172.3,169.26,170.16,25048048
2018-01-03 00:00:00+00:00,172.23,174.55,171.96,172.53,28819653
2018-01-04 00:00:00+00:00,173.03,173.47,172.08,172.54,22211345
2018-01-05 00:00:00+00:00,175,175.37,173.05,173.44,23016177
2018-01-08 00:00:00+00:00,174.35,175.61,173.93,174.35,20134092
2018-01-09 00:00:00+00:00,174.33,175.06,173.41,174.55,21262614
2018-01-10 00:00:00+00:00,174.29,174.3,173,173.16,23589129
2018-01-11 00:00:00+00:00,175.28,175.4886,174.49,174.59,17523256
2018-01-12 00:00:00+00:00,177.09,177.36,175.65,176.18,25039531
2018-01-16 00:00:00+00:00,176.19,179.39,176.14,177.9,29159005
2018-01-17 00:00:00+00:00,179.1,179.25,175.07,176.15,32752734
2018-01-18 00:00:00+00:00,179.26,180.1,178.25,179.37,30234512
2018-01-19 00:00:00+00:00,178.46,179.58,177.41,178.61,30827809
2018-01-22 00:00:00+00:00,177,177.78,176.6016,177.3,26023683
2018-01-23 00:00:00+00:00,177.04,179.44,176.82,177.3,31702531
2018-01-24 00:00:00+00:00,174.22,177.3,173.2,177.25,50562257
2018-01-25 00:00:00+00:00,171.11,174.95,170.53,174.505,39661804
2018-01-26 00:00:00+00:00,171.51,172,170.06,172,37121805
2018-01-29 00:00:00+00:00,167.96,170.16,167.07,170.16,48434424
2018-01-30 00:00:00+00:00,166.97,167.37,164.7,165.525,45137026
2018-01-31 00:00:00+00:00,167.43,168.4417,166.5,166.87,30984099
2018-02-01 00:00:00+00:00,167.78,168.62,166.76,167.165,38099665
2018-02-02 00:00:00+00:00,160.5,166.8,160.1,166,85436075
2018-02-05 00:00:00+00:00,156.49,163.88,156,159.1,66090446
2018-02-06 00:00:00+00:00,163.03,163.72,154,154.83,66625484
2018-02-07 00:00:00+00:00,159.54,163.4,159.0685,163.085,50852130
2018-02-08 00:00:00+00:00,155.15,161,155.03,160.29,49594129
2018-02-09 00:00:00+00:00,156.41,157.89,150.24,157.07,66723743
2018-02-12 00:00:00+00:00,162.71,163.89,157.51,158.5,60560145
2018-02-13 00:00:00+00:00,164.34,164.75,161.65,161.95,32104756
2018-02-14 00:00:00+00:00,167.37,167.54,162.88,163.045,39669178
2018-02-15 00:00:00+00:00,172.99,173.09,169,169.79,50609595
2018-02-16 00:00:00+00:00,172.43,174.82,171.77,172.36,39638793
2018-02-20 00:00:00+00:00,171.85,174.26,171.42,172.05,33531012
2018-02-21 00:00:00+00:00,171.07,174.12,171.01,172.83,35833514
2018-02-22 00:00:00+00:00,172.5,173.95,171.71,171.8,30504116
2018-02-23 00:00:00+00:00,175.5,175.65,173.54,173.67,33329232
2018-02-26 00:00:00+00:00,178.97,179.39,176.21,176.35,36886432
2018-02-27 00:00:00+00:00,178.39,180.48,178.16,179.1,38685165
2018-02-28 00:00:00+00:00,178.12,180.615,178.05,179.26,33604574
2018-03-01 00:00:00+00:00,175,179.775,172.66,178.54,48801970
2018-03-02 00:00:00+00:00,176.21,176.3,172.45,172.8,38453950
2018-03-05 00:00:00+00:00,176.82,177.74,174.52,175.21,28401366
2018-03-06 00:00:00+00:00,176.67,178.25,176.13,177.91,23788506
2018-03-07 00:00:00+00:00,175.03,175.85,174.27,174.94,31703462
2018-03-08 00:00:00+00:00,176.94,177.12,175.07,175.48,23163767
2018-03-09 00:00:00+00:00,179.98,180,177.39,177.96,31385134
2018-03-12 00:00:00+00:00,181.72,182.39,180.21,180.29,32055405
2018-03-13 00:00:00+00:00,179.97,183.5,179.24,182.59,31168404
2018-03-14 00:00:00+00:00,178.44,180.52,177.81,180.32,29075469
2018-03-15 00:00:00+00:00,178.65,180.24,178.0701,178.5,22584565
2018-03-16 00:00:00+00:00,178.02,179.12,177.62,178.65,36836456
2018-03-19 00:00:00+00:00,175.3,177.47,173.66,177.32,32804695
2018-03-20 00:00:00+00:00,175.24,176.8,174.94,175.24,19314039
2018-03-21 00:00:00+00:00,171.27,175.09,171.26,175.04,35247358
2018-03-22 00:00:00+00:00,168.85,172.68,168.6,170,41051076
2018-03-23 00:00:00+00:00,164.94,169.92,164.94,168.39,40248954
2018-03-26 00:00:00+00:00,172.77,173.1,166.44,168.07,36272617
2018-03-27 00:00:00+00:00,168.34,175.15,166.92,173.68,38962839
2018-03-28 00:00:00+00:00,166.48,170.02,165.19,167.25,41668545
2018-03-29 00:00:00+00:00,167.78,171.75,166.9,167.805,38398505
2018-04-02 00:00:00+00:00,166.68,168.94,164.47,167.88,37586791
2018-04-03 00:00:00+00:00,168.39,168.7455,164.88,167.64,30278046
2018-04-04 00:00:00+00:00,171.61,172.01,164.77,164.88,34605489
2018-04-05 00:00:00+00:00,172.8,174.2304,172.08,172.58,26933197
2018-04-06 00:00:00+00:00,168.38,172.48,168.2,170.97,35005290
2018-04-09 00:00:00+00:00,170.05,173.09,169.845,169.88,29017718
2018-04-10 00:00:00+00:00,173.25,174,171.53,173,28614241
2018-04-11 00:00:00+00:00,172.44,173.9232,171.7,172.23,22431640
2018-04-12 00:00:00+00:00,174.14,175,173.04,173.41,22889285
2018-04-13 00:00:00+00:00,174.73,175.84,173.85,174.78,25124255
2018-04-16 00:00:00+00:00,175.82,176.19,174.8301,175.0301,21578420
2018-04-17 00:00:00+00:00,178.24,178.9365,176.41,176.49,26605442
2018-04-18 00:00:00+00:00,177.84,178.82,176.88,177.81,20754538
2018-04-19 00:00:00+00:00,172.8,175.39,172.66,174.95,34808800
2018-04-20 00:00:00+00:00,165.72,171.2184,165.43,170.595,65491140
2018-04-23 00:00:00+00:00,165.24,166.92,164.09,166.8348,36515477
2018-04-24 00:00:00+00:00,162.94,166.33,161.2201,165.67,33692017
2018-04-25 00:00:00+00:00,163.65,165.42,162.41,162.62,28382084
2018-04-26 00:00:00+00:00,164.22,165.73,163.37,164.12,27963014
2018-04-27 00:00:00+00:00,162.32,164.33,160.63,164,35655839
2018-04-30 00:00:00+00:00,165.26,167.26,161.84,162.1302,42427424
2018-05-01 00:00:00+00:00,169.1,169.2,165.27,166.4102,53569376
2018-05-02 00:00:00+00:00,176.57,177.75,173.8,175.225,66539371
2018-05-03 00:00:00+00:00,176.89,177.5,174.4411,175.88,34068180
2018-05-04 00:00:00+00:00,183.83,184.25,178.17,178.25,56201317
2018-05-07 00:00:00+00:00,185.16,187.67,184.75,185.18,42451423
2018-05-08 00:00:00+00:00,186.05,186.22,183.665,184.99,28402777
